System,Rise Time (s),Settling Time (s),Overshoot (%),Steady-State Value,Undamped Natural Freq (rad/s),Damping Ratio
filtered_velocity_2,0.068,1.05,74.443,0.884,154.03,0.001
filtered_velocity_3,0.074,1.06,70.327,0.903,167.607,0.495
filtered_velocity_4,0.066,1.3,77.294,0.867,158.048,0.132
filtered_velocity_5,0.07,1.07,74.917,0.886,159.314,0.079
filtered_velocity_6,0.07,1.06,73.094,0.889,155.373,0.002
filtered_velocity_7,0.071,1.05,72.784,0.917,166.929,0.496
filtered_velocity_8,0.071,1.07,73.07,0.887,256.464,0.828
filtered_velocity_9,0.065,1.28,76.672,0.887,150.588,0.001
filtered_velocity_10,0.067,1.07,74.838,0.894,156.651,0.001
filtered_velocity_11,0.066,1.03,77.779,0.924,165.103,0.496
filtered_velocity_12,0.069,1.35,69.864,0.915,165.991,0.498
filtered_velocity_13,0.065,1.07,76.325,0.891,151.869,0.072
filtered_velocity_14,0.062,1.069,79.977,0.863,154.049,0.001
filtered_velocity_15,0.073,1.079,71.997,0.901,175.221,0.551
filtered_velocity_16,0.065,1.08,79.024,0.866,155.344,0.129
filtered_velocity_17,0.071,1.08,69.175,0.905,171.436,0.487
filtered_velocity_18,0.65,1.311,76.253,0.903,170.85,0.537
filtered_velocity_19,0.065,1.28,74.523,0.906,153.115,0.126
filtered_velocity_20,0.06,1.31,81.251,0.876,151.922,0.001
