System,Rise Time (s),Settling Time (s),Overshoot (%),Steady-State Value,Undamped Natural Freq (rad/s),Damping Ratio,Poles
filtered_velocity_5,1.03,1.84,125.163,0.91,60.454,0.017,"((-1.0277180000000001+60.44526376576147j), (-1.0277180000000001-60.44526376576147j))"
filtered_velocity_6,1.025,1.82,127.053,0.909,54.808,0.036,"((-1.973088+54.77247290148817j), (-1.973088-54.77247290148817j))"
filtered_velocity_7,0.044,1.83,131.709,0.885,60.388,0.083,"((-5.0122040000000005+60.179634055570524j), (-5.0122040000000005-60.179634055570524j))"
filtered_velocity_8,0.047,1.79,127.82,0.891,60.436,0.077,"((-4.653572+60.25657112415887j), (-4.653572-60.25657112415887j))"
filtered_velocity_9,0.055,1.61,128.267,0.891,79.195,0.677,"((-53.615015+58.2861749607038j), (-53.615015-58.2861749607038j))"
filtered_velocity_10,1.019,1.84,128.194,0.902,57.711,0.021,"((-1.211931+57.69827332122893j), (-1.211931-57.69827332122893j))"
filtered_velocity_11,1.021,1.84,126.449,0.91,59.467,0.003,"((-0.178401+59.46673239789789j), (-0.178401-59.46673239789789j))"
filtered_velocity_12,1.02,1.88,128.013,0.907,76.661,0.663,"((-50.826243000000005+57.38991151330476j), (-50.826243000000005-57.38991151330476j))"
filtered_velocity_13,0.047,1.63,127.797,0.889,57.933,0.078,"((-4.518774+57.75649894632572j), (-4.518774-57.75649894632572j))"
filtered_velocity_14,1.026,1.85,125.004,0.909,59.005,0.009,"((-0.531045+59.00261024910657j), (-0.531045-59.00261024910657j))"
filtered_velocity_15,1.03,1.85,126.103,0.906,57.984,0.097,"((-5.624448+57.71056957521123j), (-5.624448-57.71056957521123j))"
filtered_velocity_16,1.032,1.84,124.981,0.908,60.565,0.063,"((-3.815595+60.444689260479905j), (-3.815595-60.444689260479905j))"
filtered_velocity_17,1.031,1.629,125.753,0.905,58.403,0.117,"((-6.833151+58.00188321435088j), (-6.833151-58.00188321435088j))"
filtered_velocity_18,1.439,1.82,129.199,0.902,57.993,0.017,"((-0.9858810000000001+57.98461940595833j), (-0.9858810000000001-57.98461940595833j))"
