Time,Output
0.0,0.011473000000000066
0.005434999999999968,0.004205000000000014
0.014747999999999983,0.0019249999999999545
0.018603000000000036,0.006985999999999937
0.019674999999999998,0.01191399999999998
0.02100000000000002,0.004310999999999954
0.029618000000000033,0.002002999999999977
0.031061000000000005,0.0070269999999998944
0.03586299999999998,0.011986000000000052
0.03688199999999997,0.004418000000000033
0.04232100000000005,0.0021480000000000388
0.04773099999999997,0.01967500000000011
0.05474000000000001,0.03682999999999992
0.06532000000000004,0.05357400000000001
0.07591400000000004,0.08247699999999991
0.08707299999999996,0.1230770000000001
0.09731999999999996,0.1629609999999999
0.10448800000000003,0.18987299999999996
0.11470800000000003,0.2285410000000001
0.13017,0.278807
0.13754,0.328136
0.14747900000000003,0.364096
0.15824899999999997,0.399381
0.16528900000000002,0.4462950000000001
0.17574500000000004,0.49195600000000006
0.18747500000000006,0.5370600000000001
0.19704699999999997,0.5815440000000001
0.20479999999999998,0.624852
0.21502699999999997,0.6672880000000001
0.225935,0.7089449999999999
0.23723300000000003,0.7497100000000001
0.24753500000000006,0.7897050000000001
0.25885899999999995,0.829032
0.265112,0.867146
0.27623200000000003,0.904684
0.28692399999999996,0.9294800000000001
0.29780300000000004,0.953565
0.30583899999999997,0.9895940000000001
0.31945599999999996,1.012432
0.32654000000000005,1.0347309999999998
0.33760499999999993,1.056654
0.34775200000000006,1.0775899999999998
0.35439599999999993,1.098407
0.368974,1.107046
0.3760760000000001,1.127557
0.386911,1.1476009999999999
0.39765800000000007,1.154856
0.4050119999999999,1.1619220000000001
0.419015,1.1688869999999998
0.426682,1.1757620000000002
0.436851,1.1700279999999998
0.44789900000000005,1.1643919999999999
0.458441,1.1713049999999998
0.465619,1.1656240000000002
0.47651599999999994,1.1600480000000002
0.487225,1.154642
0.497467,1.149289
0.508127,1.1439759999999999
0.518675,1.1388500000000001
0.531003,1.1338339999999998
0.537317,1.1164710000000002
0.547665,1.099462
0.554318,1.0951840000000002
0.56535,1.090993
0.576502,1.0743749999999999
0.587591,1.0581969999999998
0.597842,1.041223
0.60456,1.026002
0.614328,1.012298
0.62602,0.9973350000000001
0.636514,0.982653
0.647583,0.968277
0.658003,0.9541930000000001
0.664801,0.9398040000000001
0.676136,0.926355
0.687253,0.9137120000000001
0.698034,0.9006810000000001
0.704891,0.8879509999999999
0.714823,0.875454
0.726088,0.8632040000000001
0.737484,0.8511880000000001
0.747605,0.8394280000000001
0.755303,0.827915
0.765278,0.816584
0.776079,0.8175129999999999
0.787245,0.8186629999999999
0.798908,0.8077639999999999
0.808634,0.7967930000000001
0.815403,0.7860830000000001
0.826392,0.7881039999999999
0.837239,0.790054
0.848068,0.7795080000000001
0.854582,0.7688269999999999
0.869233,0.7712110000000001
0.876077,0.774027
0.886817,0.7639309999999999
0.897634,0.7663169999999999
0.908042,0.768716
0.914892,0.770934
0.925761,0.773074
0.937322,0.775301
0.948266,0.777447
0.957639,0.779555
0.964912,0.7816510000000001
0.976411,0.7837019999999999
0.990723,0.785712
1.005943,0.787526
1.010777,0.789372
1.019382,0.7913110000000001
1.025449,0.8056030000000001
1.036869,0.807202
1.04742,0.8087390000000001
1.054915,0.810268
1.064968,0.8117460000000001
1.075602,0.825591
1.086919,0.826716
1.097824,0.8279190000000001
1.104629,0.8415680000000001
1.114713,0.8424389999999999
1.12644,0.8433440000000001
1.136647,0.8441989999999999
1.147326,0.8449770000000001
1.154577,0.858214
1.165147,0.8587419999999999
1.175986,0.859283
1.187117,0.872217
1.197453,0.872438
1.20874,0.8727339999999999
1.215023,0.8729899999999999
1.226053,0.8732310000000001
1.23725,0.873488
1.247731,0.873747
1.25782,0.886423
1.265071,0.88638
1.276168,0.8863620000000001
1.287022,0.886336
1.297697,0.8863110000000001
1.304624,0.886287
1.314573,0.886253
1.326169,0.8862319999999999
1.337491,0.8861810000000001
1.347929,0.886144
1.354184,0.8859459999999999
1.364547,0.885824
1.376192,0.885899
1.387451,0.885875
1.397588,0.885877
1.404276,0.8858820000000001
1.415324,0.8850499999999999
1.426059,0.884682
1.437014,0.8851199999999999
1.448951,0.88507
1.461462,0.8850579999999999
1.470488,0.8851089999999999
1.480519,0.885141
1.487798,0.8851420000000001
1.497653,0.8727
1.508047,0.8729530000000001
1.514757,0.8731979999999999
1.526721,0.8734230000000001
1.542151,0.873637
1.548259,0.873875
1.55844,0.8741220000000001
1.564907,0.8744419999999999
1.575847,0.874644
1.587765,0.874814
1.598359,0.875102
1.608215,0.862873
1.615624,0.8632979999999999
1.626692,0.863726
1.637239,0.864134
1.647012,0.864535
1.654133,0.8649690000000001
1.66909,0.8653599999999999
1.676913,0.865747
1.691334,0.8661430000000001
1.697923,0.8540730000000001
1.707929,0.8547419999999999
1.715116,0.8553740000000001
1.730255,0.855947
1.737459,0.8565389999999999
1.747586,0.857135
1.758254,0.8576969999999999
1.768778,0.8581939999999999
1.780274,0.8587039999999999
1.787758,0.8586210000000001
1.798353,0.8588709999999999
1.807975,0.8597140000000001
1.818355,0.860018
1.829926,0.8606689999999999
1.837447,0.861504
1.848033,0.849556
1.858431,0.8502179999999999
1.865167,0.85087
1.876373,0.851199
1.890839,0.851691
1.898562,0.8525689999999999
1.904662,0.853248
1.919152,0.8538699999999999
1.925664,0.8543499999999999
1.937259,0.8550610000000001
1.947499,0.8559140000000001
1.9585,0.8565020000000001
1.965284,0.857032
1.980022,0.8575950000000001
1.995718,0.8581810000000001
2.006452,0.8586860000000001
2.011065,0.8591789999999999
2.021482,0.8597079999999999
2.030322,0.8601970000000001
