System,Rise Time (s),Settling Time (s),Overshoot (%),Steady-State Value,Undamped Natural Freq (rad/s),Damping Ratio
filtered_velocity_1,0.123,0.961,38.203,0.878,47.195,0.099
filtered_velocity_2,0.115,0.959,40.69,0.862,55.346,0.651
filtered_velocity_3,0.084,0.796,29.412,0.89,40.88,0.018
filtered_velocity_4,0.122,0.95,39.477,0.881,38.994,0.036
filtered_velocity_5,0.118,0.92,41.267,0.857,41.718,0.046
filtered_velocity_6,0.112,0.94,41.617,0.839,45.016,0.001
filtered_velocity_7,3.112,3.96,2.705,1.99,140.131,0.002
filtered_velocity_8,0.117,0.95,38.857,0.867,41.792,0.026
filtered_velocity_9,0.124,0.971,38.917,0.863,41.215,0.056
filtered_velocity_10,0.113,1.16,41.253,0.859,40.181,0.016
filtered_velocity_11,0.118,0.95,39.917,0.861,40.01,0.045
filtered_velocity_12,0.115,0.92,39.63,0.875,34.193,0.022
filtered_velocity_13,0.121,0.94,38.753,0.865,42.442,0.021
filtered_velocity_14,0.115,0.92,41.184,0.867,34.4,0.05
filtered_velocity_15,0.119,0.949,40.419,0.864,42.114,0.021
filtered_velocity_16,0.12,1.17,40.898,0.865,42.331,0.02
filtered_velocity_17,0.116,0.93,40.159,0.857,39.049,0.102
filtered_velocity_18,0.113,0.939,40.021,0.865,39.53,0.055
filtered_velocity_19,0.123,0.97,38.991,0.863,40.085,0.025
filtered_velocity_20,0.118,0.93,40.262,0.859,35.278,0.007
