System,Rise Time (s),Settling Time (s),Overshoot (%),Steady-State Value,Undamped Natural Freq (rad/s),Damping Ratio,Poles
filtered_velocity_5,1.48,2.59,124.08,0.941,119.367,0.598,"((-71.381466+95.67218509415808j), (-71.381466-95.67218509415808j))"
filtered_velocity_6,0.045,2.14,130.372,0.93,100.097,0.071,"((-7.106886999999999+99.84438675343361j), (-7.106886999999999-99.84438675343361j))"
filtered_velocity_7,1.461,2.09,123.385,0.957,102.718,0.073,"((-7.4984139999999995+102.44394228789034j), (-7.4984139999999995-102.44394228789034j))"
filtered_velocity_8,0.044,2.13,129.248,0.931,100.12,0.075,"((-7.509+99.83801539994673j), (-7.509-99.83801539994673j))"
filtered_velocity_9,0.048,2.11,127.309,0.935,103.276,0.071,"((-7.332595999999999+103.01536396043448j), (-7.332595999999999-103.01536396043448j))"
filtered_velocity_10,1.466,2.09,126.03,0.956,105.295,0.075,"((-7.897125+104.99844018714933j), (-7.897125-104.99844018714933j))"
filtered_velocity_11,1.427,2.08,129.955,0.944,101.563,0.073,"((-7.414098999999999+101.29202389634733j), (-7.414098999999999-101.29202389634733j))"
filtered_velocity_12,1.46,2.13,125.103,0.95,104.69,0.07,"((-7.3283000000000005+104.43319452697978j), (-7.3283000000000005-104.43319452697978j))"
filtered_velocity_13,1.02,2.16,126.428,0.956,115.671,0.586,"((-67.78320599999999+93.72948962499244j), (-67.78320599999999-93.72948962499244j))"
filtered_velocity_14,0.046,2.09,129.682,0.922,101.784,0.065,"((-6.61596+101.56875370545018j), (-6.61596-101.56875370545018j))"
filtered_velocity_15,0.047,2.1,128.833,0.922,106.823,0.085,"((-9.079955+106.43640235463604j), (-9.079955-106.43640235463604j))"
filtered_velocity_16,1.471,2.08,124.205,0.946,118.116,0.597,"((-70.515252+94.75752577698773j), (-70.515252-94.75752577698773j))"
filtered_velocity_17,0.046,3.09,125.598,0.937,103.539,0.067,"((-6.937113+103.30634532411467j), (-6.937113-103.30634532411467j))"
filtered_velocity_18,0.047,2.13,124.288,0.938,101.497,0.064,"((-6.495808+101.28892085231799j), (-6.495808-101.28892085231799j))"
filtered_velocity_19,0.048,2.13,123.041,0.945,109.319,0.078,"((-8.526882+108.98594425134866j), (-8.526882-108.98594425134866j))"
filtered_velocity_20,0.047,2.16,125.562,0.928,100.942,0.065,"((-6.56123+100.72853431320789j), (-6.56123-100.72853431320789j))"
filtered_velocity_1,0.982,2.96,126.488,1.022,51.726,0.082,"((-4.241532+51.55180387040764j), (-4.241532-51.55180387040764j))"
filtered_velocity_2,1.429,2.45,143.147,0.977,106.977,0.622,"((-66.539694+83.76483541072808j), (-66.539694-83.76483541072808j))"
filtered_velocity_3,1.409,3.49,143.805,0.975,92.551,0.087,"((-8.051936999999999+92.20007544220357j), (-8.051936999999999-92.20007544220357j))"
filtered_velocity_4,0.04,2.43,151.489,0.954,101.751,0.095,"((-9.666345+101.29080795087468j), (-9.666345-101.29080795087468j))"
filtered_velocity_5,0.958,2.0,152.608,0.949,101.475,0.095,"((-9.640125+101.01605622367354j), (-9.640125-101.01605622367354j))"
filtered_velocity_6,0.949,2.43,151.012,0.941,97.499,0.096,"((-9.359904+97.04868467996248j), (-9.359904-97.04868467996248j))"
filtered_velocity_7,0.04,2.45,151.585,0.946,97.48,0.093,"((-9.06564+97.05753227540045j), (-9.06564-97.05753227540045j))"
filtered_velocity_8,0.953,2.42,146.858,0.957,102.616,0.094,"((-9.645904+102.16163659624284j), (-9.645904-102.16163659624284j))"
filtered_velocity_9,1.41,2.04,151.683,0.949,94.498,0.084,"((-7.937832000000001+94.16402087389736j), (-7.937832000000001-94.16402087389736j))"
filtered_velocity_10,0.941,2.37,148.237,0.966,104.875,0.092,"((-9.6485+104.43022585798614j), (-9.6485-104.43022585798614j))"
filtered_velocity_11,0.947,2.43,148.337,0.969,100.889,0.092,"((-9.281787999999999+100.46113045612744j), (-9.281787999999999-100.46113045612744j))"
filtered_velocity_12,1.389,2.42,146.21,0.971,99.142,0.086,"((-8.526212+98.77469247196397j), (-8.526212-98.77469247196397j))"
filtered_velocity_13,0.948,1.99,150.385,0.973,102.852,0.089,"((-9.153828+102.44384479775452j), (-9.153828-102.44384479775452j))"
filtered_velocity_14,0.951,2.44,148.619,0.97,116.258,0.586,"((-68.12718799999999+94.20514221215663j), (-68.12718799999999-94.20514221215663j))"
filtered_velocity_15,0.04,2.0,152.831,0.938,102.619,0.093,"((-9.543567+102.17426040797413j), (-9.543567-102.17426040797413j))"
filtered_velocity_16,0.473,2.43,157.041,0.943,96.014,0.092,"((-8.833288+95.60680529705537j), (-8.833288-95.60680529705537j))"
filtered_velocity_17,0.039,2.46,154.214,0.95,100.616,0.092,"((-9.256672+100.1892882472194j), (-9.256672-100.1892882472194j))"
filtered_velocity_18,0.953,2.41,152.014,0.95,96.281,0.092,"((-8.857852000000001+95.87267295192147j), (-8.857852000000001-95.87267295192147j))"
filtered_velocity_19,1.399,2.46,148.27,0.967,100.848,0.087,"((-8.773776+100.4656158031285j), (-8.773776-100.4656158031285j))"
filtered_velocity_20,1.402,2.46,150.759,0.97,97.957,0.088,"((-8.620216+97.57697333445705j), (-8.620216-97.57697333445705j))"
filtered_velocity_1,0.037,3.04,147.613,1.022,78.266,0.76,"((-59.48216000000001+50.866879182179055j), (-59.48216000000001-50.866879182179055j))"
filtered_velocity_2,0.036,3.04,156.848,0.972,69.171,0.053,"((-3.6660630000000003+69.0737810104531j), (-3.6660630000000003-69.0737810104531j))"
filtered_velocity_3,0.036,3.01,163.019,0.965,68.151,0.034,"((-2.3171340000000002+68.1115973313359j), (-2.3171340000000002-68.1115973313359j))"
filtered_velocity_4,0.034,2.97,164.556,0.956,74.568,0.036,"((-2.6844479999999997+74.51966427014614j), (-2.6844479999999997-74.51966427014614j))"
filtered_velocity_5,0.035,2.63,163.109,0.961,74.979,0.039,"((-2.924181+74.92195677155821j), (-2.924181-74.92195677155821j))"
filtered_velocity_6,0.035,3.07,162.176,0.973,70.789,0.033,"((-2.336037+70.75044489001205j), (-2.336037-70.75044489001205j))"
filtered_velocity_7,0.035,3.08,161.122,0.969,65.9,0.036,"((-2.3724+65.85728295519031j), (-2.3724-65.85728295519031j))"
filtered_velocity_8,0.036,3.03,160.479,0.981,74.37,0.039,"((-2.90043+74.31342009230298j), (-2.90043-74.31342009230298j))"
filtered_velocity_9,0.036,3.12,163.013,0.978,66.104,0.038,"((-2.511952+66.05625567007031j), (-2.511952-66.05625567007031j))"
filtered_velocity_10,0.035,2.989,161.337,0.977,78.144,0.026,"((-2.031744+78.11758286274906j), (-2.031744-78.11758286274906j))"
filtered_velocity_11,0.035,3.05,165.752,0.969,77.929,0.024,"((-1.8702960000000002+77.9065532151974j), (-1.8702960000000002-77.9065532151974j))"
filtered_velocity_12,0.034,3.09,165.895,0.952,69.477,0.036,"((-2.501172+69.43196430770497j), (-2.501172-69.43196430770497j))"
