System,Rise Time (s),Settling Time (s),Overshoot (%),Steady-State Value,Undamped Natural Freq (rad/s),Damping Ratio
filtered_velocity_1,0.937,1.31,148.263,0.911,55.674,0.001
filtered_velocity_2,0.95,1.37,145.247,0.904,56.977,0.007
filtered_velocity_3,0.979,1.6,140.612,0.915,56.701,0.018
filtered_velocity_4,0.524,1.3,144.752,0.925,57.017,0.038
filtered_velocity_5,0.037,1.38,148.996,0.892,59.142,0.099
filtered_velocity_6,0.94,1.37,145.833,0.91,56.833,0.004
filtered_velocity_7,0.938,1.37,145.281,0.908,57.853,0.005
filtered_velocity_8,0.97,1.31,143.441,0.912,57.155,0.079
filtered_velocity_9,0.977,1.55,148.061,0.91,58.033,0.079
filtered_velocity_10,0.974,1.33,142.769,0.918,55.961,0.002
filtered_velocity_11,0.967,1.59,141.357,0.925,55.334,0.01
filtered_velocity_12,0.947,1.52,157.745,0.933,57.015,0.037
filtered_velocity_13,0.971,1.35,147.86,0.914,57.921,0.048
filtered_velocity_14,0.968,1.52,139.659,0.918,55.67,0.003
filtered_velocity_15,0.96,1.37,143.267,0.922,54.772,0.003
filtered_velocity_16,0.037,1.32,140.554,0.912,57.997,0.0
filtered_velocity_17,0.04,1.35,139.849,0.903,75.0,0.679
filtered_velocity_18,0.964,1.53,157.232,0.91,62.498,0.097
filtered_velocity_19,0.039,1.589,139.949,0.898,59.457,0.096
filtered_velocity_20,0.976,1.38,143.218,0.909,53.683,0.005
